"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038180029","79-70 77 ROAD","11385",1,1,40.7057601,-73.8692043
"4038180030","79-72 77 ROAD","11385",1,1,40.7057765,-73.8691357
"4038180031","79-74 77 ROAD","11385",1,1,40.7057929,-73.8690672
"4038180032","79-78 77 ROAD","11385",4,2,40.705812,-73.8689842
"4038180033","79-80 77 ROAD","11385",4,2,40.7058229,-73.8688831
"4038180037","79-79 78 AVENUE","11385",2,2,40.7055401,-73.8688152
"4038180039","79-75 78 AVENUE","11385",2,2,40.7055265,-73.8689595
"4038180040","79-73 78 AVENUE","11385",2,2,40.7055102,-73.869028
"4038180041","79-71 78 AVENUE","11385",2,2,40.7054965,-73.8690966
"4038180042","79-69 78 AVENUE","11385",2,2,40.7054774,-73.8691652
"4038180043","79-67 78 AVENUE","11385",2,2,40.705461,-73.8692373
"4038180044","79-63 78 AVENUE","11385",3,3,40.7054419,-73.8693203
"4038180045","79-61 78 AVENUE","11385",3,3,40.7054173,-73.869425
"4038180047","79-59 78 AVENUE","11385",2,2,40.7053954,-73.8695116
"4038180048","79-57 78 AVENUE","11385",2,2,40.705379,-73.8695801
"4038180049","79-55 78 AVENUE","11385",2,2,40.7053626,-73.8696487
"4038180050","79-53 78 AVENUE","11385",2,2,40.705349,-73.8697172
"4038180051","79-51 78 AVENUE","11385",2,2,40.7053326,-73.8697858
"4038180052","79-49 78 AVENUE","11385",1,2,40.7053107,-73.8698724
"4038180054","79-45 78 AVENUE","11385",3,2,40.7052862,-73.869977
"4038180055","79-43 78 AVENUE","11385",2,2,40.7052643,-73.8700637
"4038180056","79-41 78 AVENUE","11385",2,2,40.7052479,-73.8701322
"4038180057","79-39 78 AVENUE","11385",2,2,40.7052315,-73.8702008
"4038180058","79-37 78 AVENUE","11385",2,2,40.7052151,-73.8702693
"4038230004","78-47 73 PLACE","11385",1,2,40.7029014,-73.8753303
"4038230005","78-45 73 PLACE","11385",2,2,40.7029728,-73.875359
"4038230007","78-43 73 PLACE","11385",2,2,40.7030387,-73.8753841
"4038230008","78-41 73 PLACE","11385",2,2,40.7030991,-73.8754093
"4038230010","78-39 73 PLACE","11385",2,2,40.703165,-73.875438
"4038230011","78-37 73 PLACE","11385",2,2,40.7032254,-73.8754631
"4038230013","78-35 73 PLACE","11385",2,2,40.7032913,-73.8754883
"4038230014","78-31 73 PLACE","11385",3,2,40.7033627,-73.875517
"4038230016","78-29 73 PLACE","11385",2,2,40.7034259,-73.8755457
"4038230017","78-27 73 PLACE","11385",2,2,40.7034945,-73.8755708
"4038230028","78-09 73 PLACE","11385",1,2,40.7039476,-73.8757611
"4038230029","78-07 73 PLACE","11385",2,2,40.7040163,-73.8757863
"4038230031","78-03 73 PLACE","11385",2,2,40.7040877,-73.875815
"4038230049","78-02 74 STREET","11385",2,2,40.7042355,-73.8754973
"4038230052","78-08 74 STREET","11385",2,2,40.7041092,-73.8754435
"4038230053","78-10 74 STREET","11385",2,2,40.7040433,-73.8754183
"4038230055","78-14 74 STREET","11385",2,2,40.7039774,-73.8753896
"4038230056","78-16 74 STREET","11385",2,2,40.703906,-73.8753609
"4038230058","78-18 74 STREET","11385",1,1,40.7038346,-73.8753322
"4038230059","78-20 74 STREET","11385",2,2,40.7037715,-73.875307
"4038230062","78-24 74 STREET","11385",2,2,40.7036479,-73.8752568
"4038230063","78-26 74 STREET","11385",2,2,40.703593,-73.8752316
"4038230064","78-28 74 STREET","11385",2,2,40.7035353,-73.8752101
"4038230065","78-32 74 STREET","11385",2,2,40.7034776,-73.875185
"4038230066","78-34 74 STREET","11385",2,2,40.7034227,-73.8751634
"4038230067","78-36 74 STREET","11385",2,2,40.703365,-73.8751383
"4038230068","78-38 74 STREET","11385",2,2,40.7033074,-73.8751168
"4038230070","78-44 74 STREET","11385",4,2,40.7031811,-73.8750629
"4038230071","78-46 74 STREET","11385",2,2,40.7031152,-73.8750378
"4038230072","78-48 74 STREET","11385",2,2,40.703052,-73.875009
"4038230073","78-52 74 STREET","11385",2,2,40.7029888,-73.8749839
"4038230074","78-54 74 STREET","11385",2,2,40.7029257,-73.8749588
"4038230085","78-62 74 STREET","11385",2,2,40.702728,-73.8748762
"4038230086","78-64 74 STREET","11385",2,2,40.7026676,-73.8748547
"4038230087","78-66 74 STREET","11385",3,2,40.7026071,-73.8748187
"4038230092","78-61 73 PLACE","11385",4,2,40.7025197,-73.8752192
"4038230093","78-59 73 PLACE","11385",4,2,40.7026131,-73.8752118
"4038230095","78-57 73 PLACE","11385",4,2,40.7026954,-73.8752441
"4038240001","78-02 75 STREET","11385",3,2,40.7043251,-73.8745702
"4038240002","78-04 75 STREET","11385",1,2,40.7042619,-73.8745235
"4038240005","78-10 75 STREET","11385",1,2,40.7041054,-73.8744588
"4038240006","78-12 75 STREET","11385",1,2,40.7040532,-73.8744373
"4038240007","78-14 75 STREET","11385",2,2,40.704001,-73.8744158
"4038240008","78-16 75 STREET","11385",1,2,40.7039544,-73.8743978
"4038240009","78-18 75 STREET","11385",1,2,40.7038994,-73.8743763
"4038240010","78-20 75 STREET","11385",2,2,40.7038445,-73.8743511
"4038240011","78-22 75 STREET","11385",1,2,40.7037924,-73.8743296
"4038240012","78-24 75 STREET","11385",1,2,40.7037402,-73.8743081
"4038240013","78-26 75 STREET","11385",1,2,40.703688,-73.8742901
"4038240014","78-28 75 STREET","11385",1,2,40.7036358,-73.874265
"4038240015","78-30 75 STREET","11385",1,2,40.7035809,-73.8742434
"4038240016","78-32 75 STREET","11385",1,2,40.7035287,-73.8742219
"4038240017","78-34 75 STREET","11385",2,2,40.7034766,-73.8742004
"4038240018","78-36 75 STREET","11385",1,2,40.7034244,-73.8741824
"4038240019","78-38 75 STREET","11385",1,2,40.7033722,-73.8741573
"4038240020","78-40 75 STREET","11385",1,2,40.70332,-73.8741393
"4038240021","78-42 75 STREET","11385",2,2,40.7032679,-73.8741178
"4038240022","78-44 75 STREET","11385",1,2,40.7032157,-73.8740926
"4038240023","78-46 75 STREET","11385",1,2,40.7031635,-73.8740711
"4038240024","78-48 75 STREET","11385",1,2,40.7031113,-73.8740532
"4038240025","78-50 75 STREET","11385",1,2,40.7030592,-73.8740316
"4038240026","78-52 75 STREET","11385",1,2,40.703007,-73.8740101
"4038240027","78-54 75 STREET","11385",2,2,40.7029521,-73.8739849
"4038240052","78-57 74 STREET","11385",2,2,40.7028701,-73.8743349
"4038240053","78-55 74 STREET","11385",1,2,40.7029333,-73.8743637
"4038240055","78-53 74 STREET","11385",1,2,40.7029855,-73.8743852
"4038240056","78-51 74 STREET","11385",1,2,40.7030404,-73.8744068
"4038240057","78-49 74 STREET","11385",2,2,40.7030925,-73.8744283
"4038240058","78-47 74 STREET","11385",1,2,40.7031447,-73.8744498
"4038240059","78-45 74 STREET","11385",1,2,40.7031969,-73.8744714
"4038240061","78-43 74 STREET","11385",1,2,40.7032491,-73.8744929
"4038240062","78-41 74 STREET","11385",2,2,40.7033012,-73.8745145
"4038240064","78-39 74 STREET","11385",2,2,40.7033534,-73.874536
"4038240065","78-37 74 STREET","11385",1,2,40.7034056,-73.8745575
